Course Full Name,Course Code,Sustainability,Climate,3-6-9,Enrollment Insights,Links ,Prereqs / Potential Barriers,Notes ,Notes,Demand,,,,,,,,,,,,,,,,,,,,
ISCI 461 Comparative Field Research Course: Systems Approaches to Regional Sustainability,ISCI_V 461,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=ISCI&course=461,,"Systems science approaches encompassing geological, hydrological, ecological, atmospheric sciences, and energy systems to investigate, analyze and research two unique regions of the world. Course location may vary; course location must be different than ISCI 361; fee payable prior to field course.",,,,,,,,,,,,,,,,,,,,,,
MATH 102 Differential Calculus with Applications to Life Sciences,MATH_V 102,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
MRNE 437 Population and Community Ecology of Marine Organisms,MRNE_V 437,TRUE,TRUE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?sesscd=W&pname=subjarea&tname=subj-section&sessyr=2023&course=437&section=610&dept=MRNE,,"Emphasis on interactions among organisms and between organisms and their physiochemical environment, and on biological diversity.",,,,,,,,,,,,,,,,,,,,,,
PHYS 333 Energy and Climate,PHYS_V 333,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=PHYS&course=333,,The fundamental physics behind global issues of energy use and climate change.,"online; Pre-reqs: Either (a) one of MATH 101, MATH 103, MATH 105, MATH 121 and one of PHYS 101, PHYS 102, PHYS 106, PHYS 107, PHYS 108, PHYS 117, PHYS 118, PHYS 131, PHYS 153, PHYS 157, PHYS 158; or (b) SCIE 001",,,,,,,,,,,,,,,,,,,,,
RES 500B Resource and Environmental Workshop,RES _V500B,TRUE,FALSE,FALSE,,,,"Faculty and students from different disciplines act as an interdisciplinary team studying specific resource problems with ecological, economic, demographic and social dimensions. Techniques and methods are emphasized to show their value in integrating knowledge, defining policy and facilitating communication. Several sections with different emphasis offered each year.",,,,,,,,,,,,,,,,,,,,,,
RES 500C Resource and Environmental Workshop,RES _V500C,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
RES 500D Resource and Environmental Workshop,RES _V500D,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
RES 500H Resource and Environmental Workshop,RES _V500H,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
RES 502 Master's Seminar on Resources and Environment,RES _V502 ,TRUE,FALSE,FALSE,,,,Environment and resource management goals and issues.,,,,,,,,,,,,,,,,,,,,,,
RES 507 Human Technological Systems,RES _V507 ,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=RES&course=507,,"Critical analysis of harms and benefits, and anticipation of global technological innovations, as they interact with social behaviour.",,,,,,,,,,,,,,,,,,,,,,
RES 508 Ecosystem Services,RES _V508 ,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=RES&course=508,,"Fostering sustainable management of ecosystem-based activities, for the competing and complementary ends of sustaining and enhancing human well-being and protecting biodiversity.",,,,,,,,,,,,,,,,,,,,,,
RES 509 Advanced Conservation Science,RES _V509 ,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=RES&course=509&section=202,,,,,,,,,,,,,,,,,,,,,,,,
RES 510 Social Ecological Systems,RES _V510 ,TRUE,FALSE,FALSE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=RES&course=510,,"Dynamics of environmental issues across temporal and spatial scales using disciplinary and interdisciplinary approaches to integrating sociological, cultural, and ecological perspectives.",,,,,,,,,,,,,,,,,,,,,,
RES 517 Agricultural Watershed Management,RES _V517 ,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
RES 518 Water in International Development,RES _V518 ,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
"RES 520 Climate Change: Science, Technology and Sustainable Development",RES _V520 ,TRUE,FALSE,FALSE,,https://sustain.ubc.ca/teaching-applied-learning/courses,,Interdisciplinary science of climate change and its impacts; options for mitigation and adaptation.,,,,,,,,,,,,,,,,,,,,,,
SCIE 120 Topics in Sustainability Science,SCIE_V 120,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
SCIE 420 Sustainability for Community and the World,SCIE_V 420,TRUE,TRUE,TRUE,,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-course&dept=SCIE&course=420,,"Explores systems thinking in the context of sustainability and also re-examines the familiar three pillar model of sustainability - society, ecology, and economics - highlighting its uses and limitations.","Pre-reqs: One of ASIC 200, ASIC 220, APBI 260, APBI 265, ARCL 309, BIOL 230, CHEM 301, CHEM 302, CHEM 341, CIVL 200, CONS 330, ECON 210, ENDS 221, ENVR 200, ENVR 300, EOSC 270, EOSC 340, FRST 100, GEOG 211, GEOG 310, HIST 106, ISCI 360, ISCI 361, LAW 386, LFS 250, PHYS 333, POLI 351, PSYC 321, PSYC 421, SCIE 120, SCIE 320. (Fourth-year standing or permission of the instructor.)",,,,,,,,,,,,,,,,,,,,,
STAT 306 Finding Relationships in Data,STAT_V 306,TRUE,FALSE,FALSE,"Case studies including environmental data; Bruce Dunham provided - Sept 28, 2023",,,,,,,,,,,,,,,,,,,,,,,,,
STAT 443 Time Series and Forecasting,STAT_V 443,TRUE,FALSE,FALSE,"Case studies including environmental data; Bruce Dunham provided - Sept 28, 2023",,,,,,,,,,,,,,,,,,,,,,,,,
